education,branch,skills,interests,career_goal,experience,recommended_career
Undergraduate,Computer Science,"CSS,Algorithms,Git",AI/ML,Software Engineer,"1 projects, 1 internships",Software Engineer
Undergraduate,Science/B.Sc,"Python,Statistics,Pandas,Data Analytics","Finance,Research,Business",Data Scientist,"1 projects, 0 internships",Data Analyst
Undergraduate,Business/BBA,"Public Speaking,Business Strategy,Sales,Product Management,Marketing,SEO",Management,Marketing Manager,"2 projects, 1 internships",Product Manager
Undergraduate,Electronics & Communication,"Mathematics,Linear Algebra,Figma","Engineering,Technology,Research",VLSI Design Engineer,"0 projects, 0 internships",Embedded Systems Engineer
Undergraduate,Electronics & Communication,"Python,Physics Lab,Kubernetes,C++,Docker","Technology,Engineering",Embedded Systems Engineer,"0 projects, 1 internships",Embedded Systems Engineer
Undergraduate,Commerce/B.Com,"Time Management,Financial Accounting,Economics,Data Analytics,Communication","Business,Finance",Financial Consultant,"2 projects, 0 internships",Chartered Accountant
Undergraduate,Electronics & Communication,"Physics Lab,Docker,Python,AWS,Data Structures,Linear Algebra",Engineering,Network Security Engineer,"0 projects, 0 internships",Embedded Systems Engineer
Undergraduate,Computer Science,"React,Node.js,SQL,CSS","Technology,AI/ML,Business",Software Engineer,"0 projects, 0 internships",Software Engineer
Class 12,PCM Stream,"Mathematics,Chemistry Lab,Communication,Problem Solving,Python,Physics Lab",Defence,Defense Officer (Army/Navy/Air Force),"0 projects, 0 internships",Civil Servant (IAS/IPS)
Undergraduate,Computer Science,"Git,React,Data Structures,JavaScript,CSS","Business,Technology",DevOps Engineer,"1 projects, 0 internships",Software Engineer
Undergraduate,Commerce/B.Com,"Data Analytics,SQL,Scrum,Problem Solving,Financial Accounting",Finance,Unknown Career,"1 projects, 1 internships",Chartered Accountant
Class 12,PCM Stream,"Python,Communication,Physics Lab,Problem Solving","Government Jobs,Defence",Defense Officer (Army/Navy/Air Force),"1 projects, 1 internships",Civil Servant (IAS/IPS)
Class 12,PCM Stream,"Chemistry Lab,Communication,Writing,Mathematics,Python,Problem Solving","Government Jobs,Engineering",High School Physics Teacher,"0 projects, 1 internships",Civil Servant (IAS/IPS)
Undergraduate,Computer Science,"C++,CSS,HTML,Algorithms,Node.js","AI/ML,Business",AI/ML Engineer,"0 projects, 1 internships",Software Engineer
Class 12,PCM Stream,"Python,Physics Lab,Mathematics","Engineering,Government Jobs,Research",High School Physics Teacher,"0 projects, 1 internships",Civil Servant (IAS/IPS)
Undergraduate,Electronics & Communication,"Python,AWS,Linear Algebra,Physics Lab",Research,IoT Systems Architect,"0 projects, 1 internships",Embedded Systems Engineer
Undergraduate,Commerce/B.Com,"Problem Solving,Data Analytics,Economics,Financial Accounting","Business,Finance",Unknown Career,"0 projects, 1 internships",Chartered Accountant
Undergraduate,Science/B.Sc,"Communication,Pandas,Data Analytics,Data Visualization","Research,Technology,Business",Data Scientist,"1 projects, 0 internships",Data Analyst
Undergraduate,Science/B.Sc,"Statistics,Python,Pandas","Technology,Finance",Data Scientist,"0 projects, 0 internships",Data Analyst
Undergraduate,Business/BBA,"Communication,Sales,SEO,Leadership,Business Strategy","Management,Business",Brand Strategist,"1 projects, 1 internships",Product Manager
Class 12,PCM Stream,"Chemistry Lab,Problem Solving,Communication,Mathematics,Writing,Physics Lab","Defence,Government Jobs",Civil Servant (IAS/IPS),"0 projects, 1 internships",Civil Servant (IAS/IPS)
Undergraduate,Electronics & Communication,"Python,Physics Lab,Linear Algebra,C++,Kubernetes",Engineering,VLSI Design Engineer,"1 projects, 0 internships",Embedded Systems Engineer
Undergraduate,Computer Science,"React,JavaScript,Algorithms","Technology,Business,AI/ML",AI/ML Engineer,"0 projects, 0 internships",Software Engineer
Undergraduate,Science/B.Sc,"NumPy,Pandas,Mathematics,Data Analytics,Communication,Data Visualization","Technology,Finance,Research",Data Scientist,"1 projects, 0 internships",Data Analyst
Undergraduate,Science/B.Sc,"Data Analytics,SQL,Data Visualization,Statistics","Technology,Finance,Business",Actuarial Analyst,"1 projects, 0 internships",Data Analyst
Undergraduate,Commerce/B.Com,"Problem Solving,Time Management,Data Analytics,Communication,Taxation,SQL",Government Jobs,Unknown Career,"1 projects, 0 internships",Chartered Accountant
Undergraduate,Computer Science,"CSS,Python,React,Git,JavaScript","Business,AI/ML,Technology",DevOps Engineer,"2 projects, 0 internships",Software Engineer
Undergraduate,Law/LLB,"Constitutional Law,Technical Writing,Negotiation,Public Speaking","Law,Social Impact,Government Jobs",Public Prosecutor,"2 projects, 0 internships",Corporate Lawyer
Class 12,PCM Stream,"Communication,Mathematics,Chemistry Lab,Physics Lab",Engineering,Defense Officer (Army/Navy/Air Force),"2 projects, 0 internships",Civil Servant (IAS/IPS)
Undergraduate,Science/B.Sc,"Data Analytics,Pandas,Communication,Mathematics,NumPy",Technology,Financial Risk Analyst,"0 projects, 0 internships",Data Analyst
Undergraduate,Commerce/B.Com,"Communication,Problem Solving,Data Analytics,SQL,Time Management","Business,Government Jobs,Finance",Financial Consultant,"0 projects, 0 internships",Chartered Accountant
Undergraduate,Law/LLB,"Negotiation,Technical Writing,Communication,Public Speaking,Constitutional Law","Government Jobs,Social Impact,Law",Criminal Defense Lawyer,"2 projects, 0 internships",Corporate Lawyer
Undergraduate,Business/BBA,"Public Speaking,Sales,Product Management,Marketing","Media,Management,Business",Management Consultant,"1 projects, 0 internships",Product Manager
Undergraduate,Business/BBA,"SEO,Product Management,Sales,Communication","Media,Management,Entrepreneurship",Product Manager,"2 projects, 0 internships",Product Manager
Undergraduate,Business/BBA,"Communication,Project Management,SEO,Business Strategy,Product Management,Public Speaking","Business,Media",Product Manager,"0 projects, 0 internships",Product Manager
Undergraduate,Business/BBA,"SEO,Sales,Public Speaking,Project Management,Business Strategy,Communication","Entrepreneurship,Media",Management Consultant,"1 projects, 1 internships",Product Manager
Undergraduate,Electronics & Communication,"Docker,AWS,Figma,Kubernetes,Data Structures","Research,Technology,Engineering",VLSI Design Engineer,"2 projects, 0 internships",Embedded Systems Engineer
Undergraduate,Computer Science,"React,SQL,HTML,Git,Java","Business,Technology,AI/ML",AI/ML Engineer,"0 projects, 0 internships",Software Engineer
Undergraduate,Business/BBA,"Communication,SEO,Business Strategy",Management,Management Consultant,"1 projects, 0 internships",Product Manager
Undergraduate,Electronics & Communication,"Python,Figma,C++,Mathematics,AWS","Technology,Engineering",Network Security Engineer,"1 projects, 1 internships",Embedded Systems Engineer
Class 12,PCM Stream,"Chemistry Lab,Problem Solving,Writing,Communication",Research,Defense Officer (Army/Navy/Air Force),"2 projects, 0 internships",Civil Servant (IAS/IPS)
Undergraduate,Law/LLB,"Technical Writing,Negotiation,Leadership,Law,Legal Writing",Law,Patent Attorney,"0 projects, 0 internships",Corporate Lawyer
Undergraduate,Law/LLB,"Negotiation,Constitutional Law,Leadership,Communication",Social Impact,Public Prosecutor,"1 projects, 1 internships",Corporate Lawyer
Class 12,PCM Stream,"Communication,Physics Lab,Problem Solving,Mathematics,Chemistry Lab",Government Jobs,Civil Servant (IAS/IPS),"2 projects, 1 internships",Civil Servant (IAS/IPS)
Class 12,PCM Stream,"Problem Solving,Physics Lab,Mathematics",Engineering,Civil Servant (IAS/IPS),"0 projects, 1 internships",Civil Servant (IAS/IPS)
Undergraduate,Electronics & Communication,"Physics Lab,AWS,Figma","Technology,Engineering,Research",Embedded Systems Engineer,"1 projects, 0 internships",Embedded Systems Engineer
Undergraduate,Business/BBA,"SEO,Product Management,Leadership","Media,Entrepreneurship",Marketing Manager,"1 projects, 1 internships",Product Manager
Undergraduate,Commerce/B.Com,"Taxation,Financial Accounting,Economics,Communication,SQL",Government Jobs,Chartered Accountant,"1 projects, 0 internships",Chartered Accountant
Class 12,PCM Stream,"Writing,Python,Physics Lab,Chemistry Lab","Engineering,Government Jobs,Defence",Research Scientist,"1 projects, 0 internships",Civil Servant (IAS/IPS)
Undergraduate,Business/BBA,"Marketing,Sales,Product Management","Management,Entrepreneurship,Media",Product Manager,"2 projects, 0 internships",Product Manager
Undergraduate,Science/B.Sc,"Communication,Python,Data Visualization,Mathematics,Data Analytics","Technology,Research",Actuarial Analyst,"1 projects, 0 internships",Data Analyst
Undergraduate,Commerce/B.Com,"Scrum,Economics,Data Analytics,Taxation,Time Management,Financial Accounting","Finance,Government Jobs,Business",Financial Consultant,"1 projects, 1 internships",Chartered Accountant
Class 12,PCM Stream,"Chemistry Lab,Mathematics,Python,Physics Lab","Government Jobs,Engineering,Research",Defense Officer (Army/Navy/Air Force),"0 projects, 1 internships",Civil Servant (IAS/IPS)
Undergraduate,Business/BBA,"Communication,Public Speaking,Business Strategy",Business,Marketing Manager,"0 projects, 1 internships",Product Manager
Undergraduate,Electronics & Communication,"Figma,Linear Algebra,AWS,Kubernetes","Technology,Engineering,Research",Embedded Systems Engineer,"2 projects, 0 internships",Embedded Systems Engineer
Undergraduate,Electronics & Communication,"AWS,Physics Lab,Figma,Python,Kubernetes,C++",Engineering,IoT Systems Architect,"2 projects, 1 internships",Embedded Systems Engineer
Class 12,PCM Stream,"Writing,Physics Lab,Mathematics,Communication,Chemistry Lab,Python",Defence,High School Physics Teacher,"2 projects, 0 internships",Civil Servant (IAS/IPS)
Undergraduate,Business/BBA,"Marketing,Public Speaking,Project Management,Leadership,Business Strategy,Product Management","Business,Management,Media",Brand Strategist,"0 projects, 1 internships",Product Manager
Undergraduate,Business/BBA,"Communication,SEO,Project Management,Public Speaking,Leadership",Media,Brand Strategist,"2 projects, 0 internships",Product Manager
Undergraduate,Science/B.Sc,"Statistics,Mathematics,Python,Pandas","Finance,Technology,Research",Financial Risk Analyst,"0 projects, 1 internships",Data Analyst
Undergraduate,Computer Science,"CSS,C++,Node.js,HTML,SQL",AI/ML,Software Engineer,"1 projects, 0 internships",Software Engineer
Undergraduate,Commerce/B.Com,"Communication,Taxation,SQL",Government Jobs,Investment Banker,"2 projects, 1 internships",Chartered Accountant
Undergraduate,Law/LLB,"Constitutional Law,Legal Writing,Law",Social Impact,Corporate Lawyer,"0 projects, 0 internships",Corporate Lawyer
Class 12,PCM Stream,"Mathematics,Physics Lab,Chemistry Lab,Problem Solving,Writing,Python",Engineering,Research Scientist,"0 projects, 1 internships",Civil Servant (IAS/IPS)
Undergraduate,Science/B.Sc,"Communication,Pandas,Mathematics,Data Analytics,Data Visualization,NumPy","Technology,Finance,Research",Data Analyst,"2 projects, 1 internships",Data Analyst
Undergraduate,Law/LLB,"Negotiation,Constitutional Law,Communication","Government Jobs,Law",Corporate Lawyer,"1 projects, 0 internships",Corporate Lawyer
Undergraduate,Computer Science,"Algorithms,Data Structures,HTML,Java","Technology,AI/ML,Business",Cloud Architect,"1 projects, 1 internships",Software Engineer
Undergraduate,Law/LLB,"Legal Writing,Law,Leadership,Negotiation,Constitutional Law","Law,Social Impact,Government Jobs",Patent Attorney,"2 projects, 0 internships",Corporate Lawyer
Class 12,PCM Stream,"Mathematics,Chemistry Lab,Physics Lab,Writing,Communication","Defence,Research",Research Scientist,"1 projects, 1 internships",Civil Servant (IAS/IPS)
Undergraduate,Science/B.Sc,"Data Visualization,Python,Data Analytics,Statistics","Research,Finance,Technology",Data Scientist,"0 projects, 1 internships",Data Analyst
Undergraduate,Commerce/B.Com,"Problem Solving,Communication,SQL,Taxation",Business,Investment Banker,"1 projects, 0 internships",Chartered Accountant
Undergraduate,Business/BBA,"Product Management,Leadership,Sales","Media,Management,Business",Marketing Manager,"2 projects, 1 internships",Product Manager
Undergraduate,Law/LLB,"Negotiation,Technical Writing,Law,Public Speaking","Law,Government Jobs,Social Impact",Patent Attorney,"1 projects, 0 internships",Corporate Lawyer
Undergraduate,Commerce/B.Com,"Scrum,SQL,Data Analytics,Financial Accounting","Finance,Business,Government Jobs",Investment Banker,"2 projects, 0 internships",Chartered Accountant
Undergraduate,Law/LLB,"Technical Writing,Communication,Legal Writing,Negotiation,Leadership","Law,Social Impact",Patent Attorney,"2 projects, 0 internships",Corporate Lawyer
Undergraduate,Law/LLB,"Constitutional Law,Leadership,Public Speaking",Social Impact,Corporate Lawyer,"0 projects, 1 internships",Corporate Lawyer
Undergraduate,Commerce/B.Com,"SQL,Problem Solving,Economics","Finance,Business",Unknown Career,"1 projects, 0 internships",Chartered Accountant
Class 12,PCM Stream,"Chemistry Lab,Writing,Communication,Mathematics,Problem Solving","Research,Engineering,Government Jobs",Defense Officer (Army/Navy/Air Force),"1 projects, 0 internships",Civil Servant (IAS/IPS)
Class 12,PCM Stream,"Mathematics,Writing,Chemistry Lab",Defence,Research Scientist,"2 projects, 0 internships",Civil Servant (IAS/IPS)
Undergraduate,Science/B.Sc,"NumPy,SQL,Pandas,Data Visualization,Communication",Technology,Financial Risk Analyst,"1 projects, 1 internships",Data Analyst
Undergraduate,Commerce/B.Com,"Problem Solving,Time Management,Scrum,Financial Accounting",Government Jobs,Investment Banker,"0 projects, 0 internships",Chartered Accountant
Undergraduate,Science/B.Sc,"Pandas,NumPy,Python",Technology,Financial Risk Analyst,"0 projects, 0 internships",Data Analyst
Undergraduate,Law/LLB,"Technical Writing,Negotiation,Public Speaking,Law","Social Impact,Government Jobs",Criminal Defense Lawyer,"1 projects, 1 internships",Corporate Lawyer
Undergraduate,Business/BBA,"Marketing,Business Strategy,Communication,SEO,Sales",Business,Brand Strategist,"1 projects, 0 internships",Product Manager
Undergraduate,Law/LLB,"Law,Negotiation,Public Speaking,Constitutional Law,Technical Writing","Social Impact,Government Jobs,Law",Public Prosecutor,"0 projects, 1 internships",Corporate Lawyer
Undergraduate,Electronics & Communication,"Docker,Linear Algebra,Python,Data Structures,Physics Lab,Mathematics","Research,Technology",Embedded Systems Engineer,"2 projects, 0 internships",Embedded Systems Engineer
Undergraduate,Science/B.Sc,"Statistics,Pandas,NumPy,Mathematics,Data Analytics,Communication",Research,Data Analyst,"1 projects, 0 internships",Data Analyst
Class 12,PCM Stream,"Chemistry Lab,Writing,Mathematics,Physics Lab,Communication,Problem Solving","Research,Engineering,Government Jobs",High School Physics Teacher,"0 projects, 0 internships",Civil Servant (IAS/IPS)
Undergraduate,Business/BBA,"Sales,Project Management,Marketing",Entrepreneurship,Product Manager,"1 projects, 0 internships",Product Manager
Undergraduate,Science/B.Sc,"Python,Communication,Mathematics,Data Analytics,Statistics,Pandas","Business,Technology",Actuarial Analyst,"1 projects, 0 internships",Data Analyst
Undergraduate,Business/BBA,"Communication,Marketing,Business Strategy,Sales","Business,Entrepreneurship,Media",Product Manager,"2 projects, 1 internships",Product Manager
Undergraduate,Electronics & Communication,"AWS,Docker,Mathematics",Technology,VLSI Design Engineer,"1 projects, 0 internships",Embedded Systems Engineer
Class 12,PCM Stream,"Problem Solving,Chemistry Lab,Physics Lab,Communication,Writing,Mathematics",Government Jobs,Defense Officer (Army/Navy/Air Force),"2 projects, 1 internships",Civil Servant (IAS/IPS)
Undergraduate,Law/LLB,"Law,Communication,Technical Writing,Leadership,Public Speaking","Government Jobs,Law",Criminal Defense Lawyer,"1 projects, 0 internships",Corporate Lawyer
Undergraduate,Business/BBA,"Product Management,Marketing,Leadership,Business Strategy","Business,Entrepreneurship",Brand Strategist,"0 projects, 1 internships",Product Manager
Undergraduate,Computer Science,"Python,Data Structures,Git,Node.js",Business,DevOps Engineer,"1 projects, 1 internships",Software Engineer
Class 12,PCM Stream,"Mathematics,Python,Writing,Physics Lab","Research,Government Jobs,Engineering",Civil Servant (IAS/IPS),"0 projects, 1 internships",Civil Servant (IAS/IPS)
Undergraduate,Computer Science,"Python,Java,Data Structures","Technology,Business,AI/ML",AI/ML Engineer,"0 projects, 0 internships",Software Engineer
Undergraduate,Business/BBA,"Marketing,Communication,Sales,Leadership","Business,Management,Entrepreneurship",Product Manager,"2 projects, 1 internships",Product Manager
Undergraduate,Electronics & Communication,"Data Structures,Figma,Docker",Engineering,IoT Systems Architect,"1 projects, 0 internships",Embedded Systems Engineer
Undergraduate,Commerce/B.Com,"SQL,Taxation,Time Management,Financial Accounting,Scrum,Problem Solving",Government Jobs,Financial Consultant,"1 projects, 0 internships",Chartered Accountant
Undergraduate,Business/BBA,"Sales,Communication,Leadership",Management,Management Consultant,"1 projects, 0 internships",Product Manager
Undergraduate,Electronics & Communication,"Kubernetes,Mathematics,AWS,Data Structures,C++,Docker","Engineering,Research,Technology",IoT Systems Architect,"0 projects, 0 internships",Embedded Systems Engineer
Undergraduate,Commerce/B.Com,"Problem Solving,SQL,Taxation","Government Jobs,Business",Financial Consultant,"1 projects, 1 internships",Chartered Accountant
Undergraduate,Electronics & Communication,"Mathematics,Kubernetes,Physics Lab","Technology,Engineering",Embedded Systems Engineer,"1 projects, 1 internships",Embedded Systems Engineer
Class 12,PCM Stream,"Chemistry Lab,Python,Writing",Defence,Defense Officer (Army/Navy/Air Force),"0 projects, 1 internships",Civil Servant (IAS/IPS)
Class 12,PCM Stream,"Physics Lab,Mathematics,Communication,Chemistry Lab,Python,Problem Solving","Government Jobs,Engineering",Defense Officer (Army/Navy/Air Force),"2 projects, 1 internships",Civil Servant (IAS/IPS)
Undergraduate,Business/BBA,"Communication,Marketing,Public Speaking,SEO,Business Strategy","Management,Business,Media",Product Manager,"1 projects, 1 internships",Product Manager
Undergraduate,Business/BBA,"Public Speaking,Leadership,Project Management,Communication,SEO","Entrepreneurship,Media",Marketing Manager,"0 projects, 0 internships",Product Manager
Undergraduate,Computer Science,"CSS,HTML,Node.js,Algorithms","Business,AI/ML,Technology",AI/ML Engineer,"2 projects, 0 internships",Software Engineer
Class 12,PCM Stream,"Writing,Chemistry Lab,Python,Communication","Engineering,Defence,Research",Civil Servant (IAS/IPS),"1 projects, 1 internships",Civil Servant (IAS/IPS)
Undergraduate,Electronics & Communication,"Figma,C++,Mathematics","Research,Technology,Engineering",VLSI Design Engineer,"0 projects, 0 internships",Embedded Systems Engineer
Undergraduate,Law/LLB,"Legal Writing,Technical Writing,Communication,Public Speaking",Government Jobs,Patent Attorney,"1 projects, 0 internships",Corporate Lawyer
Class 12,PCM Stream,"Python,Communication,Mathematics,Problem Solving,Writing,Physics Lab",Defence,Research Scientist,"2 projects, 0 internships",Civil Servant (IAS/IPS)
Undergraduate,Electronics & Communication,"Physics Lab,Data Structures,C++,Linear Algebra","Technology,Research,Engineering",Network Security Engineer,"1 projects, 1 internships",Embedded Systems Engineer
Class 12,PCM Stream,"Writing,Chemistry Lab,Problem Solving","Government Jobs,Defence",High School Physics Teacher,"1 projects, 0 internships",Civil Servant (IAS/IPS)
Undergraduate,Commerce/B.Com,"Taxation,Communication,Economics,Scrum","Finance,Business,Government Jobs",Investment Banker,"1 projects, 1 internships",Chartered Accountant
Undergraduate,Business/BBA,"Project Management,Business Strategy,Marketing,Product Management,Public Speaking,Leadership","Media,Business",Brand Strategist,"2 projects, 1 internships",Product Manager
Undergraduate,Business/BBA,"SEO,Leadership,Public Speaking,Project Management",Entrepreneurship,Marketing Manager,"2 projects, 0 internships",Product Manager
Undergraduate,Business/BBA,"Business Strategy,SEO,Leadership,Communication,Product Management,Sales","Management,Business",Brand Strategist,"2 projects, 1 internships",Product Manager
Undergraduate,Computer Science,"REST APIs,Python,Git,Node.js,C++,Data Structures",Technology,Data Scientist,"1 projects, 1 internships",Software Engineer
Undergraduate,Science/B.Sc,"Data Visualization,Pandas,Data Analytics,SQL,NumPy,Python","Finance,Technology,Research",Data Scientist,"1 projects, 0 internships",Data Analyst
Undergraduate,Science/B.Sc,"Python,SQL,Communication,Pandas",Technology,Actuarial Analyst,"2 projects, 1 internships",Data Analyst
Undergraduate,Computer Science,"C++,Algorithms,React,REST APIs,Node.js,Python","AI/ML,Business",Software Engineer,"2 projects, 0 internships",Software Engineer
Undergraduate,Commerce/B.Com,"Economics,Financial Accounting,Communication,Scrum,Time Management",Finance,Unknown Career,"0 projects, 1 internships",Chartered Accountant
Undergraduate,Law/LLB,"Public Speaking,Constitutional Law,Legal Writing","Law,Social Impact",Criminal Defense Lawyer,"2 projects, 1 internships",Corporate Lawyer
Undergraduate,Computer Science,"Data Structures,REST APIs,C++,Algorithms,React,JavaScript",Business,DevOps Engineer,"2 projects, 0 internships",Software Engineer
Undergraduate,Science/B.Sc,"Data Analytics,Pandas,Mathematics",Technology,Financial Risk Analyst,"2 projects, 0 internships",Data Analyst
Undergraduate,Business/BBA,"Product Management,Business Strategy,SEO,Communication","Media,Management,Entrepreneurship",Product Manager,"2 projects, 1 internships",Product Manager
Undergraduate,Business/BBA,"Product Management,Public Speaking,Business Strategy,Sales,Communication,SEO","Business,Entrepreneurship,Media",Marketing Manager,"1 projects, 0 internships",Product Manager
Class 12,PCM Stream,"Chemistry Lab,Python,Problem Solving,Communication,Physics Lab,Writing","Research,Engineering,Government Jobs",Research Scientist,"0 projects, 1 internships",Civil Servant (IAS/IPS)
Undergraduate,Law/LLB,"Communication,Negotiation,Law,Legal Writing,Leadership,Technical Writing","Government Jobs,Law",Corporate Lawyer,"1 projects, 0 internships",Corporate Lawyer
Undergraduate,Business/BBA,"Marketing,Project Management,SEO,Business Strategy,Product Management,Public Speaking","Business,Media,Management",Brand Strategist,"2 projects, 0 internships",Product Manager
Undergraduate,Commerce/B.Com,"Time Management,Problem Solving,Communication,SQL,Economics",Government Jobs,Financial Consultant,"2 projects, 1 internships",Chartered Accountant
Undergraduate,Computer Science,"Node.js,REST APIs,Git,Java,React",AI/ML,DevOps Engineer,"2 projects, 1 internships",Software Engineer
Undergraduate,Law/LLB,"Negotiation,Communication,Leadership,Constitutional Law,Law","Law,Government Jobs",Public Prosecutor,"2 projects, 1 internships",Corporate Lawyer
Class 12,PCM Stream,"Communication,Mathematics,Writing,Chemistry Lab,Python,Physics Lab","Government Jobs,Engineering,Defence",High School Physics Teacher,"0 projects, 0 internships",Civil Servant (IAS/IPS)
Class 12,PCM Stream,"Problem Solving,Writing,Chemistry Lab,Physics Lab","Defence,Engineering",High School Physics Teacher,"2 projects, 0 internships",Civil Servant (IAS/IPS)
Undergraduate,Science/B.Sc,"Communication,Data Analytics,NumPy,Mathematics",Technology,Data Analyst,"0 projects, 0 internships",Data Analyst
Class 12,PCM Stream,"Mathematics,Writing,Problem Solving,Chemistry Lab,Python","Government Jobs,Engineering,Research",Civil Servant (IAS/IPS),"2 projects, 0 internships",Civil Servant (IAS/IPS)
Class 12,PCM Stream,"Communication,Problem Solving,Writing,Mathematics,Python,Physics Lab","Defence,Research",Research Scientist,"1 projects, 0 internships",Civil Servant (IAS/IPS)
Undergraduate,Computer Science,"CSS,Data Structures,React,Git","AI/ML,Technology",Data Scientist,"1 projects, 1 internships",Software Engineer
Undergraduate,Law/LLB,"Law,Technical Writing,Leadership,Negotiation,Constitutional Law,Communication","Government Jobs,Social Impact,Law",Criminal Defense Lawyer,"2 projects, 1 internships",Corporate Lawyer
Class 12,PCM Stream,"Writing,Physics Lab,Communication","Engineering,Defence",High School Physics Teacher,"0 projects, 0 internships",Civil Servant (IAS/IPS)
Undergraduate,Commerce/B.Com,"Taxation,SQL,Time Management,Communication,Data Analytics,Problem Solving","Business,Finance,Government Jobs",Investment Banker,"2 projects, 0 internships",Chartered Accountant
Undergraduate,Business/BBA,"Project Management,Sales,SEO",Management,Product Manager,"1 projects, 1 internships",Product Manager
Undergraduate,Law/LLB,"Law,Negotiation,Legal Writing,Leadership,Public Speaking",Social Impact,Public Prosecutor,"2 projects, 0 internships",Corporate Lawyer
Undergraduate,Computer Science,"React,JavaScript,Data Structures,Node.js,Git,REST APIs","Business,AI/ML",AI/ML Engineer,"0 projects, 0 internships",Software Engineer
Undergraduate,Commerce/B.Com,"Time Management,Problem Solving,Financial Accounting,Communication,Scrum,Economics","Government Jobs,Finance,Business",Chartered Accountant,"0 projects, 1 internships",Chartered Accountant
Undergraduate,Electronics & Communication,"Data Structures,Figma,Kubernetes,Physics Lab,Mathematics","Technology,Engineering",Embedded Systems Engineer,"0 projects, 0 internships",Embedded Systems Engineer
Class 12,PCM Stream,"Mathematics,Problem Solving,Python,Chemistry Lab,Physics Lab,Communication","Research,Government Jobs,Defence",High School Physics Teacher,"0 projects, 1 internships",Civil Servant (IAS/IPS)
Undergraduate,Commerce/B.Com,"Problem Solving,Scrum,SQL,Taxation,Communication,Data Analytics","Business,Government Jobs",Unknown Career,"0 projects, 0 internships",Chartered Accountant
Undergraduate,Electronics & Communication,"Python,Linear Algebra,Docker,C++,AWS","Technology,Research",IoT Systems Architect,"1 projects, 1 internships",Embedded Systems Engineer
Undergraduate,Commerce/B.Com,"Time Management,Scrum,Financial Accounting,SQL",Government Jobs,Investment Banker,"1 projects, 1 internships",Chartered Accountant
Undergraduate,Science/B.Sc,"Communication,Data Visualization,SQL,Data Analytics,Mathematics","Research,Business",Financial Risk Analyst,"2 projects, 1 internships",Data Analyst
Undergraduate,Computer Science,"JavaScript,React,REST APIs,Git,Python,Data Structures","Technology,AI/ML",Cloud Architect,"1 projects, 0 internships",Software Engineer
Undergraduate,Law/LLB,"Constitutional Law,Public Speaking,Communication,Legal Writing,Leadership,Law",Government Jobs,Corporate Lawyer,"0 projects, 0 internships",Corporate Lawyer
Class 12,PCM Stream,"Communication,Writing,Problem Solving,Physics Lab","Engineering,Defence",Research Scientist,"0 projects, 0 internships",Civil Servant (IAS/IPS)
Undergraduate,Computer Science,"Node.js,Java,CSS",AI/ML,Data Scientist,"2 projects, 0 internships",Software Engineer
Undergraduate,Computer Science,"CSS,C++,HTML,Java,Data Structures","Business,AI/ML,Technology",Data Scientist,"1 projects, 1 internships",Software Engineer
Undergraduate,Computer Science,"CSS,Node.js,SQL",Technology,Data Scientist,"0 projects, 0 internships",Software Engineer
Undergraduate,Business/BBA,"Business Strategy,Public Speaking,Communication","Management,Business",Marketing Manager,"0 projects, 0 internships",Product Manager
Undergraduate,Commerce/B.Com,"Scrum,Data Analytics,SQL",Finance,Unknown Career,"1 projects, 0 internships",Chartered Accountant
Undergraduate,Law/LLB,"Constitutional Law,Negotiation,Communication,Law,Legal Writing","Social Impact,Law",Patent Attorney,"1 projects, 1 internships",Corporate Lawyer
Undergraduate,Law/LLB,"Public Speaking,Leadership,Negotiation,Legal Writing",Law,Patent Attorney,"2 projects, 1 internships",Corporate Lawyer
Undergraduate,Commerce/B.Com,"Time Management,Communication,Financial Accounting,Problem Solving,SQL,Taxation","Business,Finance",Chartered Accountant,"1 projects, 0 internships",Chartered Accountant
Undergraduate,Science/B.Sc,"NumPy,Python,Mathematics,Data Analytics,Statistics,Pandas",Business,Actuarial Analyst,"0 projects, 0 internships",Data Analyst
Undergraduate,Electronics & Communication,"Figma,Linear Algebra,Data Structures",Research,Network Security Engineer,"2 projects, 0 internships",Embedded Systems Engineer
Undergraduate,Business/BBA,"Project Management,Communication,Leadership,Product Management","Media,Management,Business",Brand Strategist,"1 projects, 1 internships",Product Manager
Undergraduate,Computer Science,"JavaScript,HTML,Python,Java,CSS","AI/ML,Technology",AI/ML Engineer,"1 projects, 1 internships",Software Engineer
Undergraduate,Commerce/B.Com,"Communication,Data Analytics,Financial Accounting,Economics","Business,Finance,Government Jobs",Unknown Career,"0 projects, 0 internships",Chartered Accountant
Undergraduate,Electronics & Communication,"Python,Data Structures,Docker,Linear Algebra,Physics Lab",Research,Embedded Systems Engineer,"2 projects, 0 internships",Embedded Systems Engineer
Undergraduate,Commerce/B.Com,"Economics,Data Analytics,Scrum,Problem Solving","Finance,Government Jobs",Unknown Career,"2 projects, 0 internships",Chartered Accountant
Undergraduate,Science/B.Sc,"Data Analytics,NumPy,SQL","Technology,Finance,Research",Actuarial Analyst,"2 projects, 0 internships",Data Analyst
Undergraduate,Electronics & Communication,"AWS,C++,Python,Linear Algebra",Engineering,VLSI Design Engineer,"2 projects, 1 internships",Embedded Systems Engineer
