id,title,provider,career,skills,duration,level
439,Business Strategy & Finance for Founders - Edition 22,Coursera,Tax Consultant,"Communication,Public Speaking,Time Management",8,Intermediate
440,Technical Writing for Software Engineers - Edition 22,NPTEL,Human Resource Manager,"Data Structures,Algorithms,Machine Learning",2,Intermediate
441,Python for Data Science and AI - Edition 23,SWAYAM,Operations Manager,"Data Structures,Algorithms,Machine Learning",9,Intermediate
442,Mastering Data Structures & Algorithms - Edition 23,SWAYAM,SEO & Content Writer,"React,Angular,Vue.js",16,Advanced
443,React - The Complete Guide - Edition 23,NPTEL,Journalist & Media Reporter,"Git,Communication,Leadership",10,Intermediate
444,Machine Learning Specialization - Edition 23,Coursera,3D Animator & Visual Artist,"3D Modeling,Communication,Creative Writing",17,Intermediate
445,Deep Learning and Neural Networks - Edition 23,Udemy,Patent Attorney,"Communication,Technical Writing,Time Management",13,Advanced
446,AWS Certified Solutions Architect - Edition 23,Simplilearn,Criminal Defense Lawyer,"Kotlin,Public Speaking,Negotiation",14,Advanced
447,UI/UX Design Masterclass - Edition 23,Udemy,High School Physics Teacher,"Public Speaking,Problem Solving,Negotiation",11,Advanced
448,Introduction to Financial Accounting - Edition 23,Udemy,College Professor (Computer Science),"Problem Solving,Teamwork,Research Methodology",10,Intermediate
449,Product Management Fundamental Course - Edition 23,Coursera,Clinical Psychologist,"Communication,Public Speaking,Problem Solving",7,Advanced
450,Cybersecurity Threat Detection and Mitigation - Edition 23,Simplilearn,Clinical Research Associate,"GraphQL,Technical Writing,Teamwork",9,Advanced
451,Academic Writing & Research Methodology - Edition 23,Udemy,Pharmacist,"Java,Problem Solving,Critical Thinking",8,Beginner
452,SQL Masterclass: SQL for Analytics - Edition 23,NPTEL,General Medical Practitioner,"Communication,Public Speaking,Technical Writing",8,Intermediate
453,Full-Stack Web Development Bootcamp - Edition 23,Simplilearn,Agricultural Officer,"Go,Economics,Public Speaking",27,Beginner
454,Google Project Management Certificate - Edition 23,Google Career Certificates,Food Technologist,"Communication,Leadership,Technical Writing",14,Advanced
455,UPSC Preparation: Indian Polity and History - Edition 23,NPTEL,Environmental Consultant,"Go,Product Management,Business Analysis",43,Advanced
456,Corporate Law & Contract Drafting - Edition 23,NPTEL,Social Worker (NGO Manager),"Communication,Public Speaking,Problem Solving",13,Beginner
457,Embedded C Programming for IoT Devices - Edition 23,Coursera,Public Policy Analyst,"Go,AWS,Economics",12,Beginner
458,Statistical Inference for Researchers - Edition 23,Great Learning,Data Scientist,"Machine Learning,Statistics,Leadership",12,Intermediate
459,Business Strategy & Finance for Founders - Edition 23,edX,Cybersecurity Consultant,"Product Management,Business Analysis,Financial Accounting",9,Beginner
460,Technical Writing for Software Engineers - Edition 23,NPTEL,Enterprise Risk Consultant,"Product Management,Business Analysis,Financial Accounting",5,Intermediate
461,Python for Data Science and AI - Edition 24,Great Learning,User Experience Researcher,"Communication,Technical Writing,Time Management",8,Intermediate
462,Mastering Data Structures & Algorithms - Edition 24,Coursera,Solutions Architect,"Product Management,Business Analysis,Financial Accounting",15,Advanced
463,React - The Complete Guide - Edition 24,edX,Robotics Software Engineer,"Computer Vision,Leadership,Time Management",12,Advanced
464,Machine Learning Specialization - Edition 24,Coursera,Biomedical Instrumentation Engineer,"Data Structures,Algorithms,Machine Learning",17,Beginner
465,Deep Learning and Neural Networks - Edition 24,edX,Actuarial Analyst,"Statistics,Problem Solving,Time Management",15,Beginner
466,AWS Certified Solutions Architect - Edition 24,NPTEL,Financial Consultant,"Data Analytics,Economics,Problem Solving",10,Advanced
467,UI/UX Design Masterclass - Edition 24,Google Career Certificates,Supply Chain Analyst,"Product Management,Business Analysis,Financial Accounting",10,Intermediate
468,Introduction to Financial Accounting - Edition 24,edX,Brand Strategist,"Marketing,Communication,Public Speaking",7,Advanced
469,Product Management Fundamental Course - Edition 24,Google Career Certificates,Media Planner,"Data Structures,Algorithms,Machine Learning",7,Beginner
470,Cybersecurity Threat Detection and Mitigation - Edition 24,Great Learning,Technical Product Owner,"React,Angular,Vue.js",8,Intermediate
471,Academic Writing & Research Methodology - Edition 24,edX,Creative Director,"Graphic Design,Communication,Leadership",7,Beginner
472,SQL Masterclass: SQL for Analytics - Edition 24,edX,IP Litigation Specialist,"Leadership,Public Speaking,Time Management",10,Advanced
473,Full-Stack Web Development Bootcamp - Edition 24,SWAYAM,Public Prosecutor,"Java,Creative Writing,Negotiation",22,Intermediate
474,Google Project Management Certificate - Edition 24,NPTEL,Special Education Teacher,"Communication,Leadership,Problem Solving",11,Intermediate
475,UPSC Preparation: Indian Polity and History - Edition 24,Simplilearn,Data Visualization Specialist,"SQL,Statistics,SQL",44,Intermediate
476,Corporate Law & Contract Drafting - Edition 24,edX,SRE Engineer,"Data Structures,Algorithms,Machine Learning",16,Intermediate
477,Embedded C Programming for IoT Devices - Edition 24,Udemy,VLSI Verification Engineer,"C++,Git,Leadership",12,Beginner
478,Statistical Inference for Researchers - Edition 24,Coursera,Embedded Firmware Developer,"C++,Public Speaking,Creative Writing",7,Intermediate
479,Business Strategy & Finance for Founders - Edition 24,edX,IoT Systems Architect,"Leadership,Creative Writing,Critical Thinking",10,Advanced
480,Technical Writing for Software Engineers - Edition 24,NPTEL,Aerodynamics Analyst,"Technical Writing,Creative Writing,Time Management",8,Advanced
481,Python for Data Science and AI - Edition 25,Udemy,Structural Design Engineer,"Deep Learning,Creative Writing,Academic Writing",9,Advanced
482,Mastering Data Structures & Algorithms - Edition 25,Udemy,Chemical Process Safety Specialist,"Data Structures,React,REST APIs",13,Advanced
483,React - The Complete Guide - Edition 25,Udemy,Quantitative Finance Analyst,"Go,Algorithms,Statistics",11,Intermediate
484,Machine Learning Specialization - Edition 25,SWAYAM,Arbitrage Trader,"Economics,Leadership,Technical Writing",17,Intermediate
485,Deep Learning and Neural Networks - Edition 25,NPTEL,Corporate Treasury Analyst,"Economics,Technical Writing,Time Management",17,Advanced
486,AWS Certified Solutions Architect - Edition 25,SWAYAM,HR Recruitment Specialist,"Product Management,Business Analysis,Financial Accounting",15,Intermediate
487,UI/UX Design Masterclass - Edition 25,Udemy,Digital Marketing Specialist,"Data Structures,Algorithms,Machine Learning",10,Beginner
488,Introduction to Financial Accounting - Edition 25,Simplilearn,News Editor,"Communication,Technical Writing,Creative Writing",9,Intermediate
489,Product Management Fundamental Course - Edition 25,Udemy,Illustrator & Concept Artist,"Graphic Design,Creative Writing,Critical Thinking",4,Advanced
490,Cybersecurity Threat Detection and Mitigation - Edition 25,Great Learning,Regulatory Affairs Specialist,"Go,Creative Writing,Problem Solving",13,Intermediate
491,Academic Writing & Research Methodology - Edition 25,edX,Bioinformatics Analyst,"Go,Algorithms,Statistics",7,Advanced
492,SQL Masterclass: SQL for Analytics - Edition 25,Coursera,Organic Chemist,"Django,Business Strategy,Chemistry Lab",7,Advanced
493,Full-Stack Web Development Bootcamp - Edition 25,Google Career Certificates,Academic Counsellor,"Communication,Technical Writing,Creative Writing",23,Beginner
494,Google Project Management Certificate - Edition 25,edX,Disaster Relief Coordinator,"Data Structures,Algorithms,Machine Learning",11,Advanced
495,UPSC Preparation: Indian Polity and History - Edition 25,NPTEL,Urban Policy Researcher,"Economics,Communication,Public Speaking",39,Beginner
496,Corporate Law & Contract Drafting - Edition 25,Coursera,Corporate Social Responsibility Lead,"Go,Product Management,Business Analysis",14,Intermediate
497,Embedded C Programming for IoT Devices - Edition 25,NPTEL,System Security Architect,"C++,Communication,Problem Solving",11,Advanced
498,Statistical Inference for Researchers - Edition 25,Google Career Certificates,E-commerce Category Manager,"Product Management,Business Analysis,Financial Accounting",7,Beginner
499,Business Strategy & Finance for Founders - Edition 25,Great Learning,Speech & Language Therapist,"Data Structures,Algorithms,Machine Learning",6,Beginner
500,Technical Writing for Software Engineers - Edition 25,SWAYAM,Horticulturist,"Leadership,Creative Writing,Problem Solving",2,Intermediate
